source_relation,date_day,platform,account_id,account_name,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_id,keyword_text,keyword_match_type,clicks,impressions,spend,conversions,conversions_value
ad_reporting__keyword_report,2024-01-01,Amazon Ads,77638,Dunder Mifflin Amazon Ads Account 638,CAMP-6804,Holiday Deals - Envelopes,ADG-8663,Envelopes - Promo,KW-443192,dunder mifflin envelopes,phrase,317,8225,358.97,33.47,4074.5
ad_reporting__keyword_report,2024-01-01,Apple Search Ads,60683,Dunder Mifflin Apple Search Ads Account 683,CAMP-8823,Sustainability - Printer Paper,ADG-4955,Printer Paper - Promo,KW-613806,printer paper,phrase,1089,11691,599.24,174.93,31691.15
ad_reporting__keyword_report,2024-01-01,Google Ads,37605,Dunder Mifflin Google Ads Account 605,CAMP-3442,Back to School - Eco Mugs,ADG-8953,Eco Mugs - Awareness,KW-544556,eco mugs,exact,1126,24340,798.97,116.37,23342.72
ad_reporting__keyword_report,2024-01-01,Google Ads,37959,Dunder Mifflin Google Ads Account 959,CAMP-6177,Bulk Discounts - Cardstock,ADG-9904,Cardstock - Awareness,KW-167726,cheap cardstock,phrase,1084,18781,1554.51,129.85,22293.53
ad_reporting__keyword_report,2024-01-01,Pinterest Ads,23941,Dunder Mifflin Pinterest Ads Account 941,CAMP-8635,Office Essentials - Cardstock,ADG-5584,Cardstock - Awareness,KW-386010,wholesale cardstock,broad,103,3293,68.53,7.73,1128.71
ad_reporting__keyword_report,2024-01-01,Twitter Ads,51312,Dunder Mifflin Twitter Ads Account 312,CAMP-4067,Brand Awareness - Sticky Notes,ADG-3250,Sticky Notes - Awareness,KW-275586,sticky notes,phrase,568,13408,210.13,40.76,6401.89
ad_reporting__keyword_report,2024-01-02,Apple Search Ads,68974,Dunder Mifflin Apple Search Ads Account 974,CAMP-7872,Office Essentials - Eco Mugs,ADG-4867,Eco Mugs - Promo,KW-798462,eco mugs,exact,696,8872,507.37,87.32,10864.15
ad_reporting__keyword_report,2024-01-02,Microsoft Ads,13584,Dunder Mifflin Microsoft Ads Account 584,CAMP-9486,Bulk Discounts - Notebooks,ADG-5047,Notebooks - Promo,KW-239973,recycled notebooks,broad,676,15819,628.88,41.34,7768.23
ad_reporting__keyword_report,2024-01-04,Microsoft Ads,95022,Dunder Mifflin Microsoft Ads Account 22,CAMP-1574,Back to School - Sticky Notes,ADG-1685,Sticky Notes - Awareness,KW-143576,discount sticky notes,exact,583,18127,618.36,74.22,11002.69
ad_reporting__keyword_report,2024-01-04,Pinterest Ads,41422,Dunder Mifflin Pinterest Ads Account 422,CAMP-4220,Back to School - Printer Paper,ADG-3334,Printer Paper - Promo,KW-774524,cheap printer paper,broad,521,16584,395.3,38.91,6108.02
ad_reporting__keyword_report,2024-01-05,Microsoft Ads,43029,Dunder Mifflin Microsoft Ads Account 29,CAMP-4333,Sustainability - Notebooks,ADG-1826,Notebooks - Promo,KW-513377,notebooks,phrase,965,16819,661.12,130.44,18070.26
ad_reporting__keyword_report,2024-01-05,Microsoft Ads,86671,Dunder Mifflin Microsoft Ads Account 671,CAMP-6340,Sustainability - Sticky Notes,ADG-4606,Sticky Notes - Awareness,KW-457146,sticky notes,exact,802,16383,692.92,56.31,8233.23
ad_reporting__keyword_report,2024-01-05,Twitter Ads,42027,Dunder Mifflin Twitter Ads Account 27,CAMP-3472,Brand Awareness - Notebooks,ADG-8647,Notebooks - Promo,KW-581793,notebooks online,phrase,179,7280,140.57,10.47,684.39
ad_reporting__keyword_report,2024-01-06,Pinterest Ads,19170,Dunder Mifflin Pinterest Ads Account 170,CAMP-1025,Bulk Discounts - Cardstock,ADG-5462,Cardstock - Retargeting,KW-754877,cardstock,phrase,222,6394,158.84,21.1,3014.27
ad_reporting__keyword_report,2024-01-06,Twitter Ads,17108,Dunder Mifflin Twitter Ads Account 108,CAMP-1261,Bulk Discounts - Notebooks,ADG-2669,Notebooks - Promo,KW-428488,cheap notebooks,broad,42,1099,32.29,4.07,499.34
ad_reporting__keyword_report,2024-01-07,Google Ads,73983,Dunder Mifflin Google Ads Account 983,CAMP-4756,Holiday Deals - Envelopes,ADG-3250,Envelopes - Retargeting,KW-984628,buy envelopes,broad,2414,30736,2908.07,304.97,41895.24
ad_reporting__keyword_report,2024-01-07,Microsoft Ads,43458,Dunder Mifflin Microsoft Ads Account 458,CAMP-3741,Back to School - Scented Candles,ADG-8898,Scented Candles - Promo,KW-293418,premium scented candles,phrase,593,15465,521.71,78.97,11669.89
ad_reporting__keyword_report,2024-01-07,Microsoft Ads,63447,Dunder Mifflin Microsoft Ads Account 447,CAMP-9864,Office Essentials - Sticky Notes,ADG-3550,Sticky Notes - Retargeting,KW-353990,dm paper sticky notes,phrase,688,19198,500.52,96.25,11457.45
ad_reporting__keyword_report,2024-01-07,Pinterest Ads,37348,Dunder Mifflin Pinterest Ads Account 348,CAMP-4273,Sustainability - Sticky Notes,ADG-6192,Sticky Notes - Retargeting,KW-814412,premium sticky notes,broad,575,11801,391.48,31.22,4518.4
ad_reporting__keyword_report,2024-01-07,Twitter Ads,48484,Dunder Mifflin Twitter Ads Account 484,CAMP-5163,Sustainability - Notebooks,ADG-5135,Notebooks - Awareness,KW-379018,notebooks,broad,284,8916,90.94,25.21,1971.58
ad_reporting__keyword_report,2024-01-08,Pinterest Ads,33919,Dunder Mifflin Pinterest Ads Account 919,CAMP-4934,Office Essentials - Envelopes,ADG-6048,Envelopes - Retargeting,KW-404149,envelopes online,broad,216,7929,99.36,18.24,1970.04
ad_reporting__keyword_report,2024-01-08,Twitter Ads,61559,Dunder Mifflin Twitter Ads Account 559,CAMP-2405,Brand Awareness - Eco Mugs,ADG-3013,Eco Mugs - Retargeting,KW-650527,eco mugs shop,broad,99,4040,41.27,9.82,952.88
ad_reporting__keyword_report,2024-01-09,Apple Search Ads,30730,Dunder Mifflin Apple Search Ads Account 730,CAMP-1573,Holiday Deals - Notebooks,ADG-7691,Notebooks - Retargeting,KW-831481,notebooks sale,broad,1334,15118,956.23,227.09,43174.48
ad_reporting__keyword_report,2024-01-09,Pinterest Ads,36600,Dunder Mifflin Pinterest Ads Account 600,CAMP-5628,Bulk Discounts - Scented Candles,ADG-3419,Scented Candles - Awareness,KW-140453,buy scented candles,phrase,411,11879,252.17,23.21,3047.27
ad_reporting__keyword_report,2024-01-09,Twitter Ads,40062,Dunder Mifflin Twitter Ads Account 62,CAMP-4946,Holiday Deals - Eco Mugs,ADG-4804,Eco Mugs - Promo,KW-440021,eco mugs,broad,383,13985,155.94,30.39,1834.7
ad_reporting__keyword_report,2024-01-10,Amazon Ads,52682,Dunder Mifflin Amazon Ads Account 682,CAMP-7529,Holiday Deals - Cardstock,ADG-4803,Cardstock - Awareness,KW-101561,wholesale cardstock,exact,350,9709,331.15,19.91,2098.01
ad_reporting__keyword_report,2024-01-10,Apple Search Ads,81608,Dunder Mifflin Apple Search Ads Account 608,CAMP-7914,Office Essentials - Envelopes,ADG-9701,Envelopes - Retargeting,KW-213404,dm paper envelopes,broad,2139,22621,1456.74,366.02,71879.94
ad_reporting__keyword_report,2024-01-10,Microsoft Ads,23227,Dunder Mifflin Microsoft Ads Account 227,CAMP-1560,Bulk Discounts - Notebooks,ADG-4676,Notebooks - Retargeting,KW-289315,dm paper notebooks,exact,618,17749,546.26,38.25,6417.92
ad_reporting__keyword_report,2024-01-11,Amazon Ads,86053,Dunder Mifflin Amazon Ads Account 53,CAMP-1828,Holiday Deals - Eco Mugs,ADG-7374,Eco Mugs - Retargeting,KW-589478,eco mugs,broad,119,3208,128.84,14.68,1768.67
ad_reporting__keyword_report,2024-01-11,Google Ads,75727,Dunder Mifflin Google Ads Account 727,CAMP-2604,Bulk Discounts - Eco Mugs,ADG-1876,Eco Mugs - Awareness,KW-154640,buy eco mugs,exact,1453,19610,1828.68,154.26,13823.22
ad_reporting__keyword_report,2024-01-11,Microsoft Ads,40821,Dunder Mifflin Microsoft Ads Account 821,CAMP-6070,Sustainability - Printer Paper,ADG-6641,Printer Paper - Retargeting,KW-628948,dm paper printer paper,phrase,316,4517,255.48,24.24,4810.6
ad_reporting__keyword_report,2024-01-11,Microsoft Ads,96545,Dunder Mifflin Microsoft Ads Account 545,CAMP-7349,Holiday Deals - Eco Mugs,ADG-8260,Eco Mugs - Awareness,KW-254507,buy eco mugs,broad,693,12898,584.72,90.11,11469.6
ad_reporting__keyword_report,2024-01-11,Twitter Ads,18871,Dunder Mifflin Twitter Ads Account 871,CAMP-4948,Office Essentials - Printer Paper,ADG-7398,Printer Paper - Promo,KW-155391,printer paper shop,broad,291,12543,145.92,14.22,1607.4
ad_reporting__keyword_report,2024-01-12,Apple Search Ads,66317,Dunder Mifflin Apple Search Ads Account 317,CAMP-4430,Office Essentials - Printer Paper,ADG-9979,Printer Paper - Promo,KW-714972,dm paper printer paper,exact,436,4427,417.24,76.76,13083.25
ad_reporting__keyword_report,2024-01-13,Microsoft Ads,12399,Dunder Mifflin Microsoft Ads Account 399,CAMP-1026,Bulk Discounts - Eco Mugs,ADG-2937,Eco Mugs - Retargeting,KW-845997,premium eco mugs,phrase,583,10475,507.72,64.38,10486.17
ad_reporting__keyword_report,2024-01-13,Pinterest Ads,83339,Dunder Mifflin Pinterest Ads Account 339,CAMP-5014,Back to School - Printer Paper,ADG-4292,Printer Paper - Awareness,KW-400658,printer paper,exact,85,1793,76.28,7.09,719.8
ad_reporting__keyword_report,2024-01-14,Amazon Ads,63758,Dunder Mifflin Amazon Ads Account 758,CAMP-4914,Holiday Deals - Sticky Notes,ADG-6661,Sticky Notes - Promo,KW-245198,dm paper sticky notes,phrase,907,20261,746.51,58.99,5740.51
ad_reporting__keyword_report,2024-01-15,Amazon Ads,99178,Dunder Mifflin Amazon Ads Account 178,CAMP-1184,Holiday Deals - Sticky Notes,ADG-7223,Sticky Notes - Promo,KW-919591,sticky notes,broad,753,12743,767.61,109.07,14451.42
ad_reporting__keyword_report,2024-01-15,Google Ads,63099,Dunder Mifflin Google Ads Account 99,CAMP-2778,Holiday Deals - Eco Mugs,ADG-8621,Eco Mugs - Retargeting,KW-238328,eco mugs,phrase,2099,32446,2821.36,299.34,32506.67
ad_reporting__keyword_report,2024-01-17,Microsoft Ads,16774,Dunder Mifflin Microsoft Ads Account 774,CAMP-7491,Brand Awareness - Notebooks,ADG-6785,Notebooks - Promo,KW-872922,notebooks offer,phrase,471,5918,362.41,35.0,3213.04
ad_reporting__keyword_report,2024-01-17,Pinterest Ads,54046,Dunder Mifflin Pinterest Ads Account 46,CAMP-4829,Back to School - Cardstock,ADG-8482,Cardstock - Awareness,KW-420216,cardstock offer,exact,247,9277,148.33,12.32,1863.36
ad_reporting__keyword_report,2024-01-18,Twitter Ads,46468,Dunder Mifflin Twitter Ads Account 468,CAMP-2059,Office Essentials - Scented Candles,ADG-6408,Scented Candles - Retargeting,KW-138898,premium scented candles,broad,297,9356,132.73,25.68,3060.52
ad_reporting__keyword_report,2024-01-19,Amazon Ads,59967,Dunder Mifflin Amazon Ads Account 967,CAMP-4326,Office Essentials - Scented Candles,ADG-8861,Scented Candles - Promo,KW-724532,scented candles,phrase,1088,22576,1115.89,85.88,7243.8
ad_reporting__keyword_report,2024-01-19,Microsoft Ads,57775,Dunder Mifflin Microsoft Ads Account 775,CAMP-1960,Bulk Discounts - Scented Candles,ADG-6465,Scented Candles - Awareness,KW-190728,scented candles,phrase,426,11169,411.58,66.24,11370.74
ad_reporting__keyword_report,2024-01-19,Pinterest Ads,89777,Dunder Mifflin Pinterest Ads Account 777,CAMP-4121,Back to School - Notebooks,ADG-1245,Notebooks - Retargeting,KW-481689,dm supplies notebooks,phrase,527,11486,453.0,25.17,1927.56
ad_reporting__keyword_report,2024-01-20,Twitter Ads,34999,Dunder Mifflin Twitter Ads Account 999,CAMP-5081,Brand Awareness - Sticky Notes,ADG-6969,Sticky Notes - Awareness,KW-844747,recycled sticky notes,phrase,316,6602,240.81,21.13,1214.62
ad_reporting__keyword_report,2024-01-23,Apple Search Ads,37440,Dunder Mifflin Apple Search Ads Account 440,CAMP-1602,Brand Awareness - Scented Candles,ADG-7197,Scented Candles - Awareness,KW-607968,premium scented candles,phrase,1209,19021,1124.09,200.59,22194.66
ad_reporting__keyword_report,2024-01-24,Amazon Ads,37057,Dunder Mifflin Amazon Ads Account 57,CAMP-6004,Back to School - Scented Candles,ADG-4392,Scented Candles - Retargeting,KW-402949,recycled scented candles,broad,1034,18160,742.91,61.12,5950.63
ad_reporting__keyword_report,2024-01-25,Amazon Ads,85746,Dunder Mifflin Amazon Ads Account 746,CAMP-4884,Bulk Discounts - Scented Candles,ADG-9014,Scented Candles - Retargeting,KW-690031,scented candles sale,exact,922,16079,554.9,48.35,4000.61
ad_reporting__keyword_report,2024-01-25,Amazon Ads,62004,Dunder Mifflin Amazon Ads Account 4,CAMP-7061,Brand Awareness - Sticky Notes,ADG-6707,Sticky Notes - Promo,KW-948068,buy sticky notes,broad,954,16909,878.3,117.36,14132.0
ad_reporting__keyword_report,2024-01-25,Google Ads,46652,Dunder Mifflin Google Ads Account 652,CAMP-3258,Sustainability - Cardstock,ADG-1650,Cardstock - Awareness,KW-925595,wholesale cardstock,phrase,1029,15491,1197.06,178.14,36968.0
ad_reporting__keyword_report,2024-01-26,Google Ads,16430,Dunder Mifflin Google Ads Account 430,CAMP-5545,Bulk Discounts - Sticky Notes,ADG-5241,Sticky Notes - Promo,KW-298078,eco sticky notes,exact,1426,29387,1159.42,204.2,39451.74
ad_reporting__keyword_report,2024-01-26,Microsoft Ads,55897,Dunder Mifflin Microsoft Ads Account 897,CAMP-7087,Brand Awareness - Envelopes,ADG-6263,Envelopes - Retargeting,KW-521146,dm supplies envelopes,broad,669,19126,580.49,48.2,6032.02
ad_reporting__keyword_report,2024-01-27,Amazon Ads,43458,Dunder Mifflin Amazon Ads Account 458,CAMP-3430,Brand Awareness - Eco Mugs,ADG-5520,Eco Mugs - Retargeting,KW-115170,cheap eco mugs,phrase,465,12574,306.35,28.98,3796.05
ad_reporting__keyword_report,2024-01-27,Twitter Ads,31169,Dunder Mifflin Twitter Ads Account 169,CAMP-6065,Back to School - Sticky Notes,ADG-2811,Sticky Notes - Promo,KW-952435,buy sticky notes,broad,436,14613,296.02,43.58,6690.04
ad_reporting__keyword_report,2024-01-28,Amazon Ads,42154,Dunder Mifflin Amazon Ads Account 154,CAMP-4761,Holiday Deals - Printer Paper,ADG-5561,Printer Paper - Retargeting,KW-196716,discount printer paper,broad,886,19501,755.87,103.98,16627.02
ad_reporting__keyword_report,2024-01-28,Amazon Ads,86000,Dunder Mifflin Amazon Ads Account 0,CAMP-8472,Office Essentials - Envelopes,ADG-6147,Envelopes - Promo,KW-616480,envelopes bulk,broad,575,13822,433.59,85.57,8491.83
ad_reporting__keyword_report,2024-01-28,Apple Search Ads,66704,Dunder Mifflin Apple Search Ads Account 704,CAMP-9624,Back to School - Notebooks,ADG-8355,Notebooks - Awareness,KW-510162,dm paper notebooks,phrase,1164,12063,1013.88,170.07,20726.14
ad_reporting__keyword_report,2024-01-29,Google Ads,20016,Dunder Mifflin Google Ads Account 16,CAMP-4632,Back to School - Printer Paper,ADG-5115,Printer Paper - Retargeting,KW-718127,printer paper offer,broad,1813,34368,2423.29,147.58,23650.85
ad_reporting__keyword_report,2024-01-29,Microsoft Ads,32198,Dunder Mifflin Microsoft Ads Account 198,CAMP-6432,Bulk Discounts - Eco Mugs,ADG-4389,Eco Mugs - Awareness,KW-690402,dm paper eco mugs,phrase,821,10960,800.84,89.14,8755.43
ad_reporting__keyword_report,2024-01-30,Apple Search Ads,14355,Dunder Mifflin Apple Search Ads Account 355,CAMP-6012,Office Essentials - Notebooks,ADG-2820,Notebooks - Awareness,KW-187151,dunder mifflin notebooks,broad,2404,26530,2344.43,347.07,53343.4
ad_reporting__keyword_report,2024-01-30,Google Ads,81501,Dunder Mifflin Google Ads Account 501,CAMP-8590,Sustainability - Envelopes,ADG-4813,Envelopes - Retargeting,KW-221292,envelopes,phrase,438,5037,458.52,37.65,8591.31
ad_reporting__keyword_report,2024-01-30,Microsoft Ads,10115,Dunder Mifflin Microsoft Ads Account 115,CAMP-4568,Holiday Deals - Scented Candles,ADG-7376,Scented Candles - Retargeting,KW-688333,eco scented candles,phrase,1391,26028,1294.54,146.4,13604.31
ad_reporting__keyword_report,2024-01-31,Google Ads,16455,Dunder Mifflin Google Ads Account 455,CAMP-6738,Back to School - Sticky Notes,ADG-3784,Sticky Notes - Awareness,KW-433868,buy sticky notes,exact,527,11781,763.24,88.43,8358.62
ad_reporting__keyword_report,2024-02-01,Amazon Ads,32988,Dunder Mifflin Amazon Ads Account 988,CAMP-3842,Brand Awareness - Eco Mugs,ADG-2566,Eco Mugs - Promo,KW-838400,eco mugs shop,broad,108,2837,87.83,6.28,889.49
ad_reporting__keyword_report,2024-02-01,Apple Search Ads,84910,Dunder Mifflin Apple Search Ads Account 910,CAMP-5061,Bulk Discounts - Notebooks,ADG-3160,Notebooks - Retargeting,KW-382624,notebooks,phrase,652,8539,448.44,89.78,13271.23
ad_reporting__keyword_report,2024-02-01,Google Ads,29377,Dunder Mifflin Google Ads Account 377,CAMP-2572,Office Essentials - Scented Candles,ADG-5305,Scented Candles - Retargeting,KW-175213,scented candles,broad,204,3677,304.74,23.46,3765.85
ad_reporting__keyword_report,2024-02-02,Amazon Ads,25391,Dunder Mifflin Amazon Ads Account 391,CAMP-2636,Holiday Deals - Printer Paper,ADG-8424,Printer Paper - Awareness,KW-801330,buy printer paper,broad,745,13770,582.74,81.04,7704.58
ad_reporting__keyword_report,2024-02-03,Pinterest Ads,25700,Dunder Mifflin Pinterest Ads Account 700,CAMP-6783,Holiday Deals - Notebooks,ADG-7237,Notebooks - Promo,KW-985975,notebooks bulk,phrase,395,10801,195.25,36.64,4530.04
ad_reporting__keyword_report,2024-02-04,Amazon Ads,99871,Dunder Mifflin Amazon Ads Account 871,CAMP-2920,Holiday Deals - Eco Mugs,ADG-1567,Eco Mugs - Retargeting,KW-340796,cheap eco mugs,broad,566,14489,519.03,31.8,3689.44
ad_reporting__keyword_report,2024-02-04,Apple Search Ads,44632,Dunder Mifflin Apple Search Ads Account 632,CAMP-2874,Bulk Discounts - Notebooks,ADG-9276,Notebooks - Promo,KW-865803,notebooks,broad,236,4727,159.61,25.94,4490.7
ad_reporting__keyword_report,2024-02-05,Microsoft Ads,60780,Dunder Mifflin Microsoft Ads Account 780,CAMP-2496,Brand Awareness - Sticky Notes,ADG-3527,Sticky Notes - Retargeting,KW-598834,recycled sticky notes,broad,1433,19498,832.94,158.86,14091.84
ad_reporting__keyword_report,2024-02-05,Microsoft Ads,46451,Dunder Mifflin Microsoft Ads Account 451,CAMP-6432,Office Essentials - Scented Candles,ADG-3741,Scented Candles - Awareness,KW-246896,scented candles deal,broad,1523,30215,920.84,200.6,33692.21
ad_reporting__keyword_report,2024-02-06,Google Ads,32409,Dunder Mifflin Google Ads Account 409,CAMP-5787,Office Essentials - Scented Candles,ADG-8432,Scented Candles - Awareness,KW-521321,dm supplies scented candles,phrase,1055,16366,875.62,88.63,18511.05
ad_reporting__keyword_report,2024-02-07,Google Ads,28853,Dunder Mifflin Google Ads Account 853,CAMP-2616,Office Essentials - Printer Paper,ADG-1079,Printer Paper - Promo,KW-164797,dunder mifflin printer paper,exact,1148,13965,1316.99,105.95,10911.47
ad_reporting__keyword_report,2024-02-07,Microsoft Ads,41669,Dunder Mifflin Microsoft Ads Account 669,CAMP-3486,Brand Awareness - Sticky Notes,ADG-1005,Sticky Notes - Promo,KW-661408,dunder mifflin sticky notes,broad,811,17521,876.69,107.18,16473.18
ad_reporting__keyword_report,2024-02-08,Apple Search Ads,93486,Dunder Mifflin Apple Search Ads Account 486,CAMP-4269,Holiday Deals - Notebooks,ADG-6948,Notebooks - Promo,KW-125519,buy notebooks,broad,415,5726,249.67,53.47,7939.72
ad_reporting__keyword_report,2024-02-08,Microsoft Ads,91505,Dunder Mifflin Microsoft Ads Account 505,CAMP-2951,Back to School - Envelopes,ADG-1564,Envelopes - Promo,KW-296136,envelopes,broad,317,5079,251.22,48.91,8095.28
ad_reporting__keyword_report,2024-02-09,Apple Search Ads,80294,Dunder Mifflin Apple Search Ads Account 294,CAMP-7953,Brand Awareness - Envelopes,ADG-5059,Envelopes - Retargeting,KW-828704,envelopes sale,phrase,1603,17459,1158.88,261.3,25615.88
ad_reporting__keyword_report,2024-02-10,Apple Search Ads,27626,Dunder Mifflin Apple Search Ads Account 626,CAMP-8316,Holiday Deals - Cardstock,ADG-9454,Cardstock - Retargeting,KW-350861,cardstock online,broad,464,8323,280.04,59.16,5951.53
ad_reporting__keyword_report,2024-02-10,Microsoft Ads,53729,Dunder Mifflin Microsoft Ads Account 729,CAMP-7993,Sustainability - Envelopes,ADG-1896,Envelopes - Retargeting,KW-424958,envelopes offer,broad,601,17163,480.58,81.5,12828.12
ad_reporting__keyword_report,2024-02-10,Microsoft Ads,59345,Dunder Mifflin Microsoft Ads Account 345,CAMP-9563,Office Essentials - Printer Paper,ADG-3547,Printer Paper - Awareness,KW-779270,printer paper,broad,1916,25849,1672.39,270.42,37008.11
ad_reporting__keyword_report,2024-02-10,Pinterest Ads,62076,Dunder Mifflin Pinterest Ads Account 76,CAMP-7456,Bulk Discounts - Sticky Notes,ADG-5167,Sticky Notes - Awareness,KW-939570,buy sticky notes,phrase,254,9543,212.27,17.49,2279.67
ad_reporting__keyword_report,2024-02-12,Apple Search Ads,62149,Dunder Mifflin Apple Search Ads Account 149,CAMP-5955,Back to School - Eco Mugs,ADG-3267,Eco Mugs - Retargeting,KW-760808,dm paper eco mugs,exact,1260,13393,957.37,151.73,27715.05
ad_reporting__keyword_report,2024-02-12,Apple Search Ads,90491,Dunder Mifflin Apple Search Ads Account 491,CAMP-8044,Office Essentials - Envelopes,ADG-4082,Envelopes - Retargeting,KW-881277,premium envelopes,phrase,994,10915,685.75,166.63,32899.75
ad_reporting__keyword_report,2024-02-12,Microsoft Ads,85654,Dunder Mifflin Microsoft Ads Account 654,CAMP-4521,Holiday Deals - Scented Candles,ADG-5621,Scented Candles - Awareness,KW-814065,scented candles,exact,1367,18893,1048.56,132.46,12129.01
ad_reporting__keyword_report,2024-02-12,Microsoft Ads,61238,Dunder Mifflin Microsoft Ads Account 238,CAMP-7264,Sustainability - Eco Mugs,ADG-5761,Eco Mugs - Promo,KW-588837,eco mugs,phrase,178,5071,148.49,27.1,5322.4
ad_reporting__keyword_report,2024-02-13,Amazon Ads,24887,Dunder Mifflin Amazon Ads Account 887,CAMP-9059,Brand Awareness - Cardstock,ADG-6290,Cardstock - Awareness,KW-127427,discount cardstock,exact,1412,25349,938.12,95.67,13863.98
ad_reporting__keyword_report,2024-02-14,Apple Search Ads,46940,Dunder Mifflin Apple Search Ads Account 940,CAMP-6806,Brand Awareness - Sticky Notes,ADG-2123,Sticky Notes - Retargeting,KW-372489,sticky notes,phrase,1797,22444,1233.52,279.89,29143.01
ad_reporting__keyword_report,2024-02-15,Amazon Ads,37884,Dunder Mifflin Amazon Ads Account 884,CAMP-5761,Back to School - Cardstock,ADG-1861,Cardstock - Awareness,KW-335075,cardstock deal,phrase,668,19833,503.11,34.6,3057.39
ad_reporting__keyword_report,2024-02-15,Apple Search Ads,85066,Dunder Mifflin Apple Search Ads Account 66,CAMP-9687,Bulk Discounts - Printer Paper,ADG-3917,Printer Paper - Awareness,KW-923962,eco printer paper,exact,650,7745,424.4,55.13,9000.34
ad_reporting__keyword_report,2024-02-15,Pinterest Ads,72034,Dunder Mifflin Pinterest Ads Account 34,CAMP-5060,Sustainability - Notebooks,ADG-8638,Notebooks - Promo,KW-904583,dm supplies notebooks,broad,236,5026,125.85,19.05,1451.63
