source_relation,date_day,platform,account_id,account_name,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_id,keyword_text,keyword_match_type,clicks,impressions,spend,conversions,conversions_value
ad_reporting__search_report,2024-01-01,Amazon Ads,30203,Dunder Mifflin Amazon Ads Account 203,CAMP-7399,Brand Awareness - Cardstock,ADG-3182,Cardstock - Promo,KW-518208,office supplies cardstock,broad,549,17708,541.06,44.22,7601.86
ad_reporting__search_report,2024-01-01,Apple Search Ads,90072,Dunder Mifflin Apple Search Ads Account 72,CAMP-7764,Sustainability - Eco Mugs,ADG-7042,Eco Mugs - Competitor,KW-108800,fast shipping eco mugs,broad,1060,14586,592.98,131.71,23797.06
ad_reporting__search_report,2024-01-01,Microsoft Ads,36946,Dunder Mifflin Microsoft Ads Account 946,CAMP-1357,Back to School - Eco Mugs,ADG-2322,Eco Mugs - Competitor,KW-569611,eco mugs,exact,952,14753,1008.29,100.4,15198.86
ad_reporting__search_report,2024-01-02,Amazon Ads,83651,Dunder Mifflin Amazon Ads Account 651,CAMP-3372,Holiday Deals - Printer Paper,ADG-6156,Printer Paper - Promo,KW-200656,premium printer paper packs,exact,902,21495,1078.08,121.78,26708.55
ad_reporting__search_report,2024-01-02,Apple Search Ads,12533,Dunder Mifflin Apple Search Ads Account 533,CAMP-6511,Office Essentials - Printer Paper,ADG-5422,Printer Paper - Retargeting,KW-871315,printer paper,broad,1405,21514,1086.83,196.83,16892.86
ad_reporting__search_report,2024-01-03,Apple Search Ads,13503,Dunder Mifflin Apple Search Ads Account 503,CAMP-2206,Sustainability - Envelopes,ADG-9062,Envelopes - Competitor,KW-364664,envelopes bulk,broad,1111,16049,622.35,178.7,35505.1
ad_reporting__search_report,2024-01-03,Apple Search Ads,57491,Dunder Mifflin Apple Search Ads Account 491,CAMP-6391,Office Essentials - Cardstock,ADG-4489,Cardstock - Retargeting,KW-641609,premium cardstock,phrase,234,3612,247.93,31.22,3071.4
ad_reporting__search_report,2024-01-04,Amazon Ads,72898,Dunder Mifflin Amazon Ads Account 898,CAMP-3006,Sustainability - Eco Mugs,ADG-4018,Eco Mugs - Awareness,KW-547444,eco mugs,broad,690,18395,690.93,64.28,13517.98
ad_reporting__search_report,2024-01-04,Amazon Ads,82162,Dunder Mifflin Amazon Ads Account 162,CAMP-9950,Holiday Deals - Eco Mugs,ADG-2828,Eco Mugs - Awareness,KW-380617,eco mugs,exact,1202,21902,735.16,152.62,19928.72
ad_reporting__search_report,2024-01-04,Microsoft Ads,31588,Dunder Mifflin Microsoft Ads Account 588,CAMP-2531,Sustainability - Cardstock,ADG-4601,Cardstock - Promo,KW-112843,cardstock,phrase,908,15959,746.36,86.4,10969.6
ad_reporting__search_report,2024-01-06,Amazon Ads,95772,Dunder Mifflin Amazon Ads Account 772,CAMP-9048,Holiday Deals - Eco Mugs,ADG-1066,Eco Mugs - Retargeting,KW-498471,cheap eco mugs,exact,496,15848,516.59,35.37,2855.29
ad_reporting__search_report,2024-01-06,Amazon Ads,59708,Dunder Mifflin Amazon Ads Account 708,CAMP-9925,Brand Awareness - Printer Paper,ADG-7404,Printer Paper - Competitor,KW-988590,printer paper compare,phrase,693,18254,846.76,48.15,5698.3
ad_reporting__search_report,2024-01-06,Apple Search Ads,94513,Dunder Mifflin Apple Search Ads Account 513,CAMP-1574,Sustainability - Cardstock,ADG-4549,Cardstock - Awareness,KW-308848,premium cardstock,phrase,341,4269,194.85,64.75,7836.44
ad_reporting__search_report,2024-01-07,Apple Search Ads,80291,Dunder Mifflin Apple Search Ads Account 291,CAMP-6045,Sustainability - Notebooks,ADG-9270,Notebooks - Promo,KW-351456,eco friendly notebooks,broad,1264,17121,1480.2,181.35,24776.04
ad_reporting__search_report,2024-01-07,Apple Search Ads,52688,Dunder Mifflin Apple Search Ads Account 688,CAMP-9167,Back to School - Notebooks,ADG-9940,Notebooks - Retargeting,KW-879979,notebooks deal,broad,1603,16528,1859.63,169.69,27252.84
ad_reporting__search_report,2024-01-07,Google Ads,72330,Dunder Mifflin Google Ads Account 330,CAMP-8611,Bulk Discounts - Eco Mugs,ADG-5102,Eco Mugs - Retargeting,KW-209733,eco mugs sale,broad,42,500,39.38,4.89,784.56
ad_reporting__search_report,2024-01-07,Microsoft Ads,13796,Dunder Mifflin Microsoft Ads Account 796,CAMP-5846,Office Essentials - Eco Mugs,ADG-3535,Eco Mugs - Competitor,KW-502675,eco mugs,broad,1537,25754,1446.12,177.47,27634.72
ad_reporting__search_report,2024-01-08,Amazon Ads,86865,Dunder Mifflin Amazon Ads Account 865,CAMP-5726,Bulk Discounts - Cardstock,ADG-2192,Cardstock - Competitor,KW-384010,wholesale cardstock,broad,712,14652,728.85,56.07,9878.94
ad_reporting__search_report,2024-01-08,Apple Search Ads,75375,Dunder Mifflin Apple Search Ads Account 375,CAMP-4937,Brand Awareness - Notebooks,ADG-4961,Notebooks - Competitor,KW-726045,notebooks near me,phrase,885,11843,792.56,72.65,12017.8
ad_reporting__search_report,2024-01-08,Google Ads,46814,Dunder Mifflin Google Ads Account 814,CAMP-6160,Office Essentials - Sticky Notes,ADG-9594,Sticky Notes - Awareness,KW-713702,eco friendly sticky notes,phrase,562,11196,637.52,105.33,15808.7
ad_reporting__search_report,2024-01-08,Microsoft Ads,87565,Dunder Mifflin Microsoft Ads Account 565,CAMP-2139,Sustainability - Cardstock,ADG-9061,Cardstock - Awareness,KW-785110,dm office cardstock eco,broad,931,15666,1107.32,92.63,20098.34
ad_reporting__search_report,2024-01-08,Microsoft Ads,86854,Dunder Mifflin Microsoft Ads Account 854,CAMP-4093,Back to School - Printer Paper,ADG-5524,Printer Paper - Awareness,KW-408013,printer paper,broad,707,14540,485.96,70.61,12601.21
ad_reporting__search_report,2024-01-09,Amazon Ads,28113,Dunder Mifflin Amazon Ads Account 113,CAMP-4049,Office Essentials - Notebooks,ADG-2523,Notebooks - Promo,KW-647102,notebooks compare,broad,595,13810,360.42,91.8,11981.77
ad_reporting__search_report,2024-01-09,Apple Search Ads,34569,Dunder Mifflin Apple Search Ads Account 569,CAMP-1578,Bulk Discounts - Notebooks,ADG-1700,Notebooks - Retargeting,KW-657770,notebooks eco,phrase,1365,16701,1240.28,184.07,27916.51
ad_reporting__search_report,2024-01-09,Apple Search Ads,72674,Dunder Mifflin Apple Search Ads Account 674,CAMP-1631,Sustainability - Scented Candles,ADG-9516,Scented Candles - Awareness,KW-783370,scented candles online,broad,1459,17744,1549.99,247.26,49683.88
ad_reporting__search_report,2024-01-09,Apple Search Ads,96973,Dunder Mifflin Apple Search Ads Account 973,CAMP-4188,Office Essentials - Printer Paper,ADG-5329,Printer Paper - Competitor,KW-715261,printer paper,broad,93,1511,100.5,11.55,2101.09
